Code	Description
112	DIETITIAN
113	PERIODONTIST
114	SPORTS MEDICINE
115	OUT OF COUNTRY DENTIST
116	URGENT CARE CENTER
117	NON-RN MDWIFE (LI
118	INFIRMARY-PRISON
119	CLINICAL NURSE SP
120	PSYC NURSING FEP
121	COMBO A/D M/N CTR
122	MENTAL HEALTH PRO
123	CHEM DEP CENTER
124	HOMEOPATHS
125	CASE MANAGER
126	PULMONARY CRITICAL CARE
127	INDEPENDENT SLEEP
128	RN 4 OB
129	NEURO PSYCHOLOGIST
130	PA 4 OB
131	PA/URGENT CARE CENTER
132	GOVERNMENT AGENCY
133	NP/URGENT CARE CT
134	FEP MASSAGE THRPY
135	FEP PASTORAL CNSL
136	CERTIFD DIABETIC
137	OCULARIST
138	INDEPENDENT VASCU
139	OUTPATIENT PT/OT/
140	IP REHAB UNIT-MAD
141	AUTISM TX AGENCY
142	AUTISM DX/TX AGEN
143	NO DESCRIPTION ON FILE
144	NO DESCRIPTION ON FILE
145	NO DESCRIPTION ON FILE
146	NO DESCRIPTION ON FILE
147	NO DESCRIPTION ON FILE
148	NO DESCRIPTION ON FILE
149	NO DESCRIPTION ON FILE
150	NO DESCRIPTION ON FILE
151	ACUTE GENERAL HOSP
152	NONACUTE GENERAL HOSP
153	PSYCH FREE ST FAC
154	OS MULT SPEC INST
155	PEDIATRIC HOSPITA
156	UNKNOWN INST SPECIALTY
157	OUT OF COUNTRY HOSPITAL
158	ECF/NURSING HOME
159	SURGICENTER
160	ALC/DRUG FREEST FAC
161	AD/MN TREAT CTR/OP FS
162	MENTAL HLTH FAC
163	ALCHOL TREATMENT CTR
164	BIRTHING CENTER
165	REHABILITATION CENTER
166	PAIN REHAB CENTER
167	ALC/DRUG/MN FREEST FAC
168	RENAL DIALYSIS
169	SWING BED
170	CRITICAL ACCESS H
171	GOVERNMENT FACILI
172	RURAL HEALTH CLINIC
173	RESIDENTL TRT CTR
174	FQHC/FED QUAL HC
175	VA NURSING HOME
176	SPEC MEN HLTH FAC
177	NO DESCRIPTION ON FILE
178	NO DESCRIPTION ON FILE
179	NO DESCRIPTION ON FILE
180	NONLICENSE HOSP
181	NO DESCRIPTION ON FILE
182	NO DESCRIPTION ON FILE
183	NO DESCRIPTION ON FILE
184	NO DESCRIPTION ON FILE
185	NO DESCRIPTION ON FILE
186	NO DESCRIPTION ON FILE
187	NO DESCRIPTION ON FILE
188	NO DESCRIPTION ON FILE
189	NO DESCRIPTION ON FILE
190	NO DESCRIPTION ON FILE
191	NO DESCRIPTION ON FILE
192	NO DESCRIPTION ON FILE
193	NO DESCRIPTION ON FILE
194	NO DESCRIPTION ON FILE
195	NO DESCRIPTION ON FILE
196	NO DESCRIPTION ON FILE
197	HOSP AUDIT PROV
198	OUTSTATE MENTAL
199	OTHER INSTITUTION
200	NO DESCRIPTION ON FILE
201	AMBULANCE
202	DIET CENTER
203	HOSPICE AGENCY
204	HOME HEALTH
205	PROSTHETICS/ORTHOTICS
206	OXYGEN SUPPLY
207	DURABLE MED EQUIP
208	PHARMACY/SUPPLIES
209	STATE AGENCY
210	TRANSPORT
211	CNSLT PRV/NRS CHG
212	OUT OF COUNTRY RES
213	FEP HOME NURSING
214	PSYCH NURSE REVIE
216	HOME INFUSION
217	INFIRMARY MD
218	INFIRMARY PA
219	INFIRMARY LPN
220	INFIRMARY RN
221	INFIRMARY AID
222	MOBILE UNIT
223	AIR AMBULANCE
224	WELLNESS
